comparator_isoform_id	gene_id	reference_isoform_id	subclass	chr	h5_split	mashr_posterior_mean_logfc	our_model_prob	nmdetective_b_score	nmdetective_b_leaf	nmdetective_b_call	nmdep_rule_score	nmdep_rule_leaf	nmdep_rule_call
ENSG00000000419.15.novel1	ENSG00000000419.15	ENST00000371588.10	NMD+/PTC+	chr20	train	1.87387173223883	0.9625191	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000003402.22.novel42	ENSG00000003402.22	ENST00000341222.10	NMD+/PTC-	""	""	1.75455698346143		0	last_exon	escape	0	last_exon	escape
ENSG00000003402.22.novel46	ENSG00000003402.22	ENST00000341222.10	Control	chr2	val	0.0454923459624371	0.32739595	0	last_exon	escape	0	last_exon	escape
ENSG00000004864.15.novel1	ENSG00000004864.15	ENST00000265631.10	NMD+/PTC+	chr7	test	3.57459408973923	0.70769936	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000004864.15.novel2	ENSG00000004864.15	ENST00000265631.10	Control	chr7	test	-0.0449547744708603	0.062324602	0	last_exon	escape	0	last_exon	escape
ENSG00000005436.15.novel1	ENSG00000005436.15	ENST00000470503.1	Control	chr2	val	-0.0569516582799041	0.038607266	0	last_exon	escape	0	last_exon	escape
ENSG00000005436.15.novel3	ENSG00000005436.15	ENST00000470503.1	NMD+/PTC+	chr2	val	3.86792921979151	0.9957873	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000006194.12.novel67	ENSG00000006194.12	ENST00000575823.2	NMD+/PTC-	chr16	train	3.16311932782003	0.5709114	0	last_exon	escape	0	last_exon	escape
ENSG00000006282.23.novel1	ENSG00000006282.23	ENST00000503127.5	NMD+/PTC+	chr17	train	1.87068337434969	0.8809016	0.41	long_exon	escape	0.41	long_exon	escape
ENSG00000007341.20.novel6	ENSG00000007341.20	ENST00000473206.5	NMD+/PTC-	chr1	test	3.67400030691922	0.33553863	0	last_exon	escape	0	last_exon	escape
ENSG00000011105.15.novel1	ENSG00000011105.15	ENST00000011898.10	NMD+/PTC+	chr12	train	4.78400409295893	0.984183	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000011638.12.novel2	ENSG00000011638.12	ENST00000233047.9	NMD+/PTC+	chr16	train	2.30616046814443	0.8732554	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000012171.21.novel22	ENSG00000012171.21	ENST00000616701.5	NMD+/PTC+	""	""	2.68883561468381		0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000013441.18.novel26	ENSG00000013441.18	ENST00000321356.9	Control	chr2	val	0.0637530532649741	0.3322959	0	last_exon	escape	0	last_exon	escape
ENSG00000013561.19.novel1	ENSG00000013561.19	ENST00000394520.7	Control	chr5	test	-0.00376910313576672	0.107775085	0	last_exon	escape	0	last_exon	escape
ENSG00000018699.14.novel1	ENSG00000018699.14	ENST00000317907.9	NMD+/PTC+	chr2	val	2.47247822056169	0.67515266	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000019102.13.novel1	ENSG00000019102.13	ENST00000326621.10	NMD+/PTC+	chr11	train	3.9196743057443	0.92061675	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000020129.17.novel2	ENSG00000020129.17	ENST00000356090.8	NMD+/PTC+	chr1	test	4.13665273537979	0.73507756	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000020426.12.novel2	ENSG00000020426.12	ENST00000261245.9	Control	chr14	train	-0.0563599037988532	0.04830022	0	last_exon	escape	0	last_exon	escape
ENSG00000020426.12.novel6	ENSG00000020426.12	ENST00000261245.9	NMD+/PTC+	chr14	train	2.56291160568322	0.9808235	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000022840.17.novel36	ENSG00000022840.17	ENST00000325954.9	NMD+/PTC+	chr12	train	1.85074506046574	0.572576	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000023228.16.novel1	ENSG00000023228.16	ENST00000233190.11	NMD+/PTC+	chr2	val	4.80514194076547	0.9043311	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000023697.14.novel1	ENSG00000023697.14	ENST00000428559.7	Control	chr12	train	0.0373402166657497	0.88999075	0	last_exon	escape	0	last_exon	escape
ENSG00000023697.14.novel2	ENSG00000023697.14	ENST00000428559.7	NMD+/PTC+	chr12	train	1.2662216104009	0.87621236	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000023909.11.novel3	ENSG00000023909.11	ENST00000370238.8	NMD+/PTC+	chr1	test	2.51811630611374	0.7321446	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000025708.15.novel1	ENSG00000025708.15	ENST00000252029.8	NMD+/PTC+	chr22	train	3.35843530315067	0.19476004	0.41	long_exon	escape	0.41	long_exon	escape
ENSG00000026652.16.novel1	ENSG00000026652.16	ENST00000320285.9	NMD+/PTC+	chr6	train	4.31113644256884	0.94010854	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000030066.15.novel2	ENSG00000030066.15	ENST00000378460.7	NMD+/PTC+	chr11	train	3.69013897361993	0.99547136	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000033178.14.novel4	ENSG00000033178.14	ENST00000322244.10	NMD+/PTC+	chr4	val	3.41448246001459	0.98680395	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000037474.16.novel2	ENSG00000037474.16	ENST00000264670.11	NMD+/PTC+	chr5	test	4.63576324998236	0.99510115	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000038210.15.novel1	ENSG00000038210.15	ENST00000264864.8	NMD+/PTC+	chr4	val	3.63793623773945	0.9854101	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000042088.15.novel5	ENSG00000042088.15	ENST00000393454.6	NMD+/PTC+	chr14	train	3.97268386075302	0.9909306	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000042980.15.novel4	ENSG00000042980.15	ENST00000265769.9	NMD+/PTC+	chr8	train	2.74298425693201	0.973784	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000048140.19.novel2	ENSG00000048140.19	ENST00000508164.6	NMD+/PTC-	""	""	1.15289144942606		0	last_exon	escape	0	last_exon	escape
ENSG00000048162.23.novel1	ENSG00000048162.23	ENST00000614830.5	NMD+/PTC+	chr5	test	4.27798118780065	0.73926103	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000049167.17.novel2	ENSG00000049167.17	ENST00000676185.1	NMD+/PTC+	chr5	test	2.08277965987542	0.83558613	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000051009.12.novel1	ENSG00000051009.12	ENST00000449352.7	NMD+/PTC+	""	""	1.32527254454597		0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000053372.6.novel1	ENSG00000053372.6	ENST00000330263.5	Control	chr1	test	-0.0744739717244362	0.25220397	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000053372.6.novel2	ENSG00000053372.6	ENST00000330263.5	NMD+/PTC+	chr1	test	3.05742959047624	0.37239996	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000053770.13.novel2	ENSG00000053770.13	ENST00000261558.8	NMD+/PTC+	chr14	train	2.15764538939062	0.6894424	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000053770.13.novel5	ENSG00000053770.13	ENST00000261558.8	Control	chr14	train	-0.000655974031177097	0.14929186	0	last_exon	escape	0	last_exon	escape
ENSG00000054148.19.novel2	ENSG00000054148.19	ENST00000247665.12	Control	chr9	train	-0.0104136471877868	0.52573824	0	last_exon	escape	0	last_exon	escape
ENSG00000054277.14.novel3	ENSG00000054277.14	ENST00000490673.5	NMD+/PTC+	chr1	test	1.11375365258414	0.5918565	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000057019.17.novel21	ENSG00000057019.17	ENST00000326840.11	Control	chr3	test	-0.0326800482142388	0.03456683	0	last_exon	escape	0	last_exon	escape
ENSG00000057019.17.novel3	ENSG00000057019.17	ENST00000326840.11	NMD+/PTC+	chr3	test	5.14666953505586	0.9923644	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000058063.18.novel1	ENSG00000058063.18	ENST00000323116.10	Control	chr3	test	0.0314404505860166	0.05465919	0	last_exon	escape	0	last_exon	escape
ENSG00000058063.18.novel2	ENSG00000058063.18	ENST00000323116.10	NMD+/PTC+	chr3	test	2.26120110053923	0.9856564	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000058085.16.novel1	ENSG00000058085.16	ENST00000264144.5	NMD+/PTC+	chr1	test	7.27345736746795	0.80245715	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000058085.16.novel45	ENSG00000058085.16	ENST00000264144.5	Control	chr1	test	0.111871315024958	0.17725408	0	last_exon	escape	0	last_exon	escape
ENSG00000058804.13.novel1	ENSG00000058804.13	ENST00000371429.4	Control	chr1	test	-0.0797713989581206	0.15257384	0	last_exon	escape	0	last_exon	escape
ENSG00000058804.13.novel4	ENSG00000058804.13	ENST00000371429.4	NMD+/PTC+	chr1	test	1.72856092382175	0.90994686	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000059758.9.novel5	ENSG00000059758.9	ENST00000261211.8	NMD+/PTC+	chr12	train	4.2215371234267	0.9822389	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000059758.9.novel7	ENSG00000059758.9	ENST00000261211.8	Control	chr12	train	0.0479964745092672	0.045814425	0	last_exon	escape	0	last_exon	escape
ENSG00000059769.21.novel8	ENSG00000059769.21	ENST00000313525.4	Control	chr9	train	-0.0206212929858168	0.029114617	0	last_exon	escape	0	last_exon	escape
ENSG00000060140.10.novel1	ENSG00000060140.10	ENST00000075503.8	Control	chr12	train	0.0566379281363036	0.09013467	0	last_exon	escape	0	last_exon	escape
ENSG00000060140.10.novel5	ENSG00000060140.10	ENST00000075503.8	NMD+/PTC+	chr12	train	1.61594353872508	0.8253374	0.65	trigger_nmd	trigger	0.65	trigger_nmd	trigger
ENSG00000060558.4.novel1	ENSG00000060558.4	ENST00000262958.4	Control	chr19	train	0.0396195966143956	0.10331739	0	last_exon	escape	0	last_exon	escape
